burst_mb,cpu_c,cpu_pct,gpu_c,mbps,t,tj_c
4,57.312,100.0,56.343,231.43694600171776,0.018135327999971196,57.312
4,57.312,100.0,56.312,256.59244602462564,0.03826506999985213,57.375
4,57.468,100.0,56.625,247.94492261488594,0.05634807600017666,57.468
4,57.625,100.0,56.562,264.91864195191346,0.07335856100007732,57.625
4,57.437,100.0,56.406,268.3004386325604,0.09015998099994249,57.437
4,57.281,100.0,56.093,245.98860605119998,0.11023925700010295,57.281
4,57.218,100.0,56.687,284.203348816321,0.12614889899987247,57.218
4,57.468,100.0,56.218,261.87090138278364,0.1432895319999261,57.468
4,57.5,100.0,56.156,237.62172060869008,0.16206069300005765,57.5
4,57.281,100.0,56.343,180.49440176662074,0.18637046899993948,57.281
4,57.406,100.0,56.093,317.92217368786646,0.2007667399998354,57.406
4,57.625,100.0,56.156,245.57794136868156,0.21899064799981716,57.625
4,57.531,100.0,56.468,233.0849108340399,0.23815116800005853,57.312
4,57.25,100.0,56.343,263.96149034294484,0.25521976700019877,57.25
4,57.406,100.0,56.0,243.11944739564868,0.2736686429998372,57.406
4,57.5,100.0,56.562,296.56904943985563,0.2889876379999805,57.5
4,57.281,100.0,56.218,232.96062889717433,0.3092563609998251,57.281
4,57.343,100.0,56.437,325.66039669716423,0.32332938799982003,57.343
4,57.781,100.0,56.093,253.41629527963192,0.3412066579999191,57.781
4,57.687,100.0,56.312,329.44295736485185,0.35510380599998825,57.687
4,57.187,100.0,56.562,234.41600079271325,0.3741724179999437,57.187
4,57.25,100.0,56.437,312.5626859260577,0.38882556299995485,57.25
4,57.468,100.0,56.406,259.9564341124342,0.4061576280000736,57.468
4,57.468,100.0,56.312,335.36901591229423,0.4197912139998152,57.468
4,57.437,100.0,56.312,250.09379328239896,0.43773453499989046,57.437
4,57.218,100.0,56.562,273.6209807299509,0.4542233669999405,57.218
4,57.312,100.0,56.093,320.41939660622876,0.46849832099997,57.312
4,57.25,100.0,56.312,239.90033589948854,0.4872176399999262,57.25
4,57.25,100.0,56.343,331.4046778937853,0.5010423369999444,57.25
4,57.375,92.3,56.593,209.0154684659918,0.522219990999929,57.375
4,57.562,100.0,56.218,334.46528149022527,0.5359305719998702,57.562
4,57.531,100.0,56.187,322.93149421132733,0.5500824490000014,57.531
4,57.218,100.0,56.343,203.0461688900349,0.5718928639998921,57.218
4,57.281,100.0,56.656,245.20394736749054,0.590161382000133,57.312
4,57.156,100.0,56.593,329.5415493122723,0.6040245760000289,57.281
4,57.375,100.0,56.375,247.5496778039982,0.6221504000000095,57.375
4,57.25,100.0,56.343,308.36516258570214,0.6369561910000812,57.25
4,57.562,100.0,56.125,319.5125113549934,0.6544091249998019,57.562
4,57.437,81.8,56.718,298.4368705207384,0.6723985270000412,57.437
4,57.218,100.0,56.593,303.7788684954659,0.6873028179998073,57.218
4,57.25,100.0,56.156,235.41767837325966,0.7062047680001342,57.25
4,57.312,100.0,56.343,225.7446746893867,0.7261827920001451,57.312
4,57.312,100.0,56.093,301.41963821331,0.7412685939998482,57.312
4,57.625,100.0,56.593,306.50036951156005,0.7561222899998938,57.625
4,57.656,100.0,56.531,269.3375169023164,0.7728006980000828,57.656
4,57.437,100.0,56.468,312.25441247247784,0.787407888999951,57.437
4,57.468,100.0,56.406,308.97651691033536,0.802105291999851,57.468
4,57.218,100.0,56.718,241.55747551084886,0.8207588479999686,57.218
4,57.218,100.0,56.187,311.2422511387497,0.8354491149998466,57.218
4,57.218,100.0,56.187,308.40434305246924,0.8502092399999128,57.218
4,57.125,100.0,56.156,283.6590035557832,0.8661478750000242,57.406
4,57.281,100.0,56.125,276.3766185483875,0.8824496279999039,57.281
4,57.593,100.0,56.312,225.9486015494418,0.9022139479998259,57.593
4,57.5,100.0,56.25,310.91958810821853,0.9168816850001349,57.5
4,57.437,100.0,56.187,313.15115637708305,0.9314588269999149,57.437
4,57.25,100.0,56.125,238.47040227733513,0.950231715999962,57.25
4,57.437,100.0,56.281,226.59940490922276,0.9698870389997865,57.437
4,57.343,100.0,56.593,279.6535454366138,0.9861357660001886,57.343
4,57.375,100.0,56.218,229.77948739246304,1.0055863450002107,57.375
4,57.593,100.0,56.468,310.00989609229623,1.020279458999994,57.593
4,57.5,100.0,56.093,250.33982033485506,1.0381574009998076,57.281
4,57.218,90.0,56.656,309.7183214876014,1.0529345189997912,57.218
4,57.25,100.0,56.187,316.1240126322898,1.0674348259999533,57.25
4,57.25,100.0,56.437,238.05589741722477,1.086188002000199,57.25
4,57.437,100.0,56.343,314.16899074810175,1.1007448549999026,57.437
4,57.468,100.0,56.156,315.1874233484918,1.1152486820001286,57.468
4,57.218,100.0,56.625,182.92226489557612,1.1393353449998358,57.218
4,57.281,100.0,56.562,309.1893420401567,1.1541282389998742,57.281
4,57.343,100.0,56.125,230.86826210199965,1.1734412129999328,57.343
4,57.25,100.0,56.125,302.4002160677955,1.1885626319999574,57.25
4,57.406,100.0,56.062,255.78772304379356,1.2062074450000182,57.406
4,57.468,100.0,56.5,283.811346664481,1.2221927049999977,57.468
4,57.437,100.0,56.468,312.79690340578844,1.2368124409999837,57.437
4,57.218,100.0,56.312,197.52617573840314,1.2592766409998148,57.437
4,57.437,100.0,56.031,236.22683093262003,1.278164926000045,57.437
4,57.343,100.0,56.25,314.7371006366803,1.2926874419999876,57.343
4,57.468,100.0,56.156,310.3681495641548,1.3074071810001442,57.718
4,57.593,100.0,56.375,239.82220364788523,1.3260631060002197,57.593
4,57.593,100.0,56.406,308.8964190133771,1.3408467509998445,57.593
4,57.25,100.0,56.062,214.99984237927552,1.361547490999783,57.25
4,57.25,100.0,56.562,313.7576184942741,1.3760970799999086,57.343
4,57.312,100.0,56.562,249.3268988640807,1.394168468999851,57.312
4,57.406,100.0,56.406,313.9703380170268,1.4086935770001219,57.406
4,57.406,100.0,56.156,317.6370846571136,1.4230755120001959,57.406
4,57.343,100.0,56.062,302.7662630462534,1.4381313600001704,57.343
4,57.718,100.0,56.25,241.97310670314644,1.4567226099998152,57.718
4,57.656,100.0,56.156,314.0380168108594,1.4712554299999283,57.656
4,57.531,100.0,56.343,314.0892125485289,1.48581487499996,57.531
4,57.25,100.0,56.062,238.12467642706187,1.5045500340002036,57.25
4,57.281,100.0,56.125,312.4591156274815,1.519180618000064,57.281
4,57.25,100.0,56.562,265.96370422910053,1.5361051469999438,57.25
4,57.312,100.0,56.468,190.61533386814799,1.5592768629999227,57.312
4,57.687,100.0,56.343,294.69133145014723,1.5746324669999012,57.281
4,57.187,100.0,56.343,297.87529601856716,1.5918978730001072,57.187
