07-21-2026 19:04:42 RAM 1614/7546MB (lfb 186x4MB) SWAP 2436/8192MB (cached 31MB) CPU [44%@1190,0%@1190,9%@1190,10%@1190,0%@729,0%@729] GR3D_FREQ 0% cpu@51.531C/51.531C soc2@51.062C/51.062C soc0@52.031C/52.031C gpu@52.375C/52.375C tj@52.375C/52.375C soc1@51.968C/51.968C VDD_IN 5248mW/5248mW/5248mW VDD_CPU_GPU_CV 1600mW/1600mW/1600mW VDD_SOC 1200mW/1200mW/1200mW
07-21-2026 19:04:42 RAM 1621/7546MB (lfb 186x4MB) SWAP 2436/8192MB (cached 31MB) CPU [4%@729,14%@729,0%@729,9%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@51.562C/51.562C soc2@51.031C/51.062C soc0@51.843C/52.031C gpu@52.562C/52.562C tj@52.562C/52.562C soc1@52.031C/52.031C VDD_IN 5248mW/5248mW/5248mW VDD_CPU_GPU_CV 1600mW/1600mW/1600mW VDD_SOC 1240mW/1220mW/1240mW
07-21-2026 19:04:42 RAM 1621/7546MB (lfb 186x4MB) SWAP 2435/8192MB (cached 31MB) CPU [13%@729,0%@729,5%@729,4%@729,4%@729,4%@729] GR3D_FREQ 0% cpu@51.687C/51.687C soc2@51.093C/51.093C soc0@51.937C/52.031C gpu@52.187C/52.562C tj@52.187C/52.562C soc1@52.062C/52.062C VDD_IN 5208mW/5235mW/5248mW VDD_CPU_GPU_CV 1560mW/1587mW/1600mW VDD_SOC 1200mW/1213mW/1240mW
07-21-2026 19:04:42 RAM 1621/7546MB (lfb 186x4MB) SWAP 2435/8192MB (cached 31MB) CPU [0%@729,9%@729,0%@729,0%@729,4%@729,5%@729] GR3D_FREQ 0% cpu@51.687C/51.687C soc2@50.937C/51.093C soc0@51.906C/52.031C gpu@52.281C/52.562C tj@52.281C/52.562C soc1@52.125C/52.125C VDD_IN 5168mW/5218mW/5248mW VDD_CPU_GPU_CV 1520mW/1570mW/1600mW VDD_SOC 1200mW/1210mW/1240mW
07-21-2026 19:04:43 RAM 1621/7546MB (lfb 186x4MB) SWAP 2435/8192MB (cached 31MB) CPU [9%@729,4%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@51.5C/51.687C soc2@50.906C/51.093C soc0@51.937C/52.031C gpu@52.093C/52.562C tj@52.093C/52.562C soc1@51.843C/52.125C VDD_IN 5128mW/5200mW/5248mW VDD_CPU_GPU_CV 1480mW/1552mW/1600mW VDD_SOC 1200mW/1208mW/1240mW
07-21-2026 19:04:43 RAM 1621/7546MB (lfb 186x4MB) SWAP 2435/8192MB (cached 31MB) CPU [5%@729,4%@729,9%@729,0%@729,4%@729,4%@729] GR3D_FREQ 0% cpu@51.375C/51.687C soc2@50.968C/51.093C soc0@52.031C/52.031C gpu@52.156C/52.562C tj@52.156C/52.562C soc1@51.937C/52.125C VDD_IN 5128mW/5188mW/5248mW VDD_CPU_GPU_CV 1520mW/1547mW/1600mW VDD_SOC 1200mW/1207mW/1240mW
07-21-2026 19:04:43 RAM 1621/7546MB (lfb 186x4MB) SWAP 2435/8192MB (cached 31MB) CPU [0%@729,0%@729,0%@729,0%@729,4%@729,0%@729] GR3D_FREQ 0% cpu@51.468C/51.687C soc2@50.906C/51.093C soc0@51.875C/52.031C gpu@51.968C/52.562C tj@51.968C/52.562C soc1@51.937C/52.125C VDD_IN 5088mW/5174mW/5248mW VDD_CPU_GPU_CV 1480mW/1537mW/1600mW VDD_SOC 1200mW/1206mW/1240mW
07-21-2026 19:04:43 RAM 1621/7546MB (lfb 186x4MB) SWAP 2435/8192MB (cached 31MB) CPU [0%@729,0%@729,4%@729,0%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@51.531C/51.687C soc2@50.968C/51.093C soc0@51.906C/52.031C gpu@52.031C/52.562C tj@52.031C/52.562C soc1@52.031C/52.125C VDD_IN 5048mW/5158mW/5248mW VDD_CPU_GPU_CV 1440mW/1525mW/1600mW VDD_SOC 1200mW/1205mW/1240mW
07-21-2026 19:04:43 RAM 1621/7546MB (lfb 186x4MB) SWAP 2435/8192MB (cached 31MB) CPU [4%@729,9%@729,4%@729,5%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@51.375C/51.687C soc2@50.812C/51.093C soc0@51.937C/52.031C gpu@51.906C/52.562C tj@51.937C/52.562C soc1@51.812C/52.125C VDD_IN 5088mW/5150mW/5248mW VDD_CPU_GPU_CV 1480mW/1520mW/1600mW VDD_SOC 1200mW/1204mW/1240mW
07-21-2026 19:04:44 RAM 1618/7546MB (lfb 185x4MB) SWAP 2435/8192MB (cached 32MB) CPU [4%@729,0%@729,4%@729,4%@729,4%@729,5%@729] GR3D_FREQ 0% cpu@51.343C/51.687C soc2@50.875C/51.093C soc0@51.718C/52.031C gpu@51.968C/52.562C tj@51.968C/52.562C soc1@51.906C/52.125C VDD_IN 5048mW/5140mW/5248mW VDD_CPU_GPU_CV 1480mW/1516mW/1600mW VDD_SOC 1200mW/1204mW/1240mW
07-21-2026 19:04:44 RAM 1618/7546MB (lfb 185x4MB) SWAP 2435/8192MB (cached 32MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@51.375C/51.687C soc2@50.843C/51.093C soc0@51.843C/52.031C gpu@51.968C/52.562C tj@51.968C/52.562C soc1@51.968C/52.125C VDD_IN 5048mW/5132mW/5248mW VDD_CPU_GPU_CV 1440mW/1509mW/1600mW VDD_SOC 1200mW/1204mW/1240mW
07-21-2026 19:04:44 RAM 1618/7546MB (lfb 185x4MB) SWAP 2435/8192MB (cached 32MB) CPU [4%@729,4%@729,9%@729,0%@729,4%@729,9%@729] GR3D_FREQ 0% cpu@51.625C/51.687C soc2@50.843C/51.093C soc0@51.968C/52.031C gpu@52C/52.562C tj@52C/52.562C soc1@51.75C/52.125C VDD_IN 5048mW/5125mW/5248mW VDD_CPU_GPU_CV 1480mW/1507mW/1600mW VDD_SOC 1200mW/1203mW/1240mW
07-21-2026 19:04:44 RAM 1618/7546MB (lfb 185x4MB) SWAP 2435/8192MB (cached 32MB) CPU [0%@729,5%@729,0%@729,4%@729,4%@729,4%@729] GR3D_FREQ 0% cpu@51.125C/51.687C soc2@50.812C/51.093C soc0@51.906C/52.031C gpu@51.937C/52.562C tj@51.937C/52.562C soc1@51.781C/52.125C VDD_IN 5008mW/5116mW/5248mW VDD_CPU_GPU_CV 1440mW/1502mW/1600mW VDD_SOC 1200mW/1203mW/1240mW
07-21-2026 19:04:44 RAM 1622/7546MB (lfb 185x4MB) SWAP 2435/8192MB (cached 34MB) CPU [9%@729,4%@729,9%@729,5%@729,0%@729,5%@729] GR3D_FREQ 0% cpu@51.218C/51.687C soc2@50.75C/51.093C soc0@51.781C/52.031C gpu@52.187C/52.562C tj@52.187C/52.562C soc1@51.843C/52.125C VDD_IN 5048mW/5111mW/5248mW VDD_CPU_GPU_CV 1480mW/1500mW/1600mW VDD_SOC 1200mW/1203mW/1240mW
07-21-2026 19:04:45 RAM 1619/7546MB (lfb 185x4MB) SWAP 2435/8192MB (cached 34MB) CPU [9%@729,0%@729,4%@729,0%@729,4%@729,0%@729] GR3D_FREQ 0% cpu@51.343C/51.687C soc2@50.812C/51.093C soc0@51.75C/52.031C gpu@51.812C/52.562C tj@51.843C/52.562C soc1@51.843C/52.125C VDD_IN 5088mW/5109mW/5248mW VDD_CPU_GPU_CV 1480mW/1499mW/1600mW VDD_SOC 1200mW/1203mW/1240mW
07-21-2026 19:04:45 RAM 1613/7546MB (lfb 185x4MB) SWAP 2434/8192MB (cached 34MB) CPU [5%@729,9%@729,5%@729,4%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@51.437C/51.687C soc2@50.781C/51.093C soc0@51.843C/52.031C gpu@51.875C/52.562C tj@52.093C/52.562C soc1@52.093C/52.125C VDD_IN 5088mW/5108mW/5248mW VDD_CPU_GPU_CV 1480mW/1498mW/1600mW VDD_SOC 1200mW/1203mW/1240mW
07-21-2026 19:04:45 RAM 1613/7546MB (lfb 185x4MB) SWAP 2434/8192MB (cached 34MB) CPU [0%@729,0%@729,9%@729,9%@729,4%@729,0%@729] GR3D_FREQ 0% cpu@51.218C/51.687C soc2@50.75C/51.093C soc0@51.937C/52.031C gpu@52.25C/52.562C tj@52.25C/52.562C soc1@51.718C/52.125C VDD_IN 5088mW/5107mW/5248mW VDD_CPU_GPU_CV 1480mW/1496mW/1600mW VDD_SOC 1200mW/1202mW/1240mW
07-21-2026 19:04:45 RAM 1613/7546MB (lfb 185x4MB) SWAP 2434/8192MB (cached 34MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@51.093C/51.687C soc2@50.687C/51.093C soc0@51.687C/52.031C gpu@51.781C/52.562C tj@51.781C/52.562C soc1@51.75C/52.125C VDD_IN 5048mW/5104mW/5248mW VDD_CPU_GPU_CV 1480mW/1496mW/1600mW VDD_SOC 1200mW/1202mW/1240mW
07-21-2026 19:04:45 RAM 1613/7546MB (lfb 185x4MB) SWAP 2434/8192MB (cached 34MB) CPU [0%@729,9%@729,5%@729,0%@729,4%@729,0%@729] GR3D_FREQ 0% cpu@51.125C/51.687C soc2@50.75C/51.093C soc0@51.718C/52.031C gpu@52.093C/52.562C tj@52.093C/52.562C soc1@51.812C/52.125C VDD_IN 5048mW/5101mW/5248mW VDD_CPU_GPU_CV 1480mW/1495mW/1600mW VDD_SOC 1200mW/1202mW/1240mW
