07-21-2026 18:55:30 RAM 1830/7546MB (lfb 190x4MB) SWAP 2315/8192MB (cached 164MB) CPU [5%@1267,4%@1267,20%@1267,35%@1267,5%@1113,0%@1113] GR3D_FREQ 0% cpu@50.281C/50.281C soc2@49.687C/49.687C soc0@50.687C/50.687C gpu@50.906C/50.906C tj@50.687C/50.687C soc1@50.593C/50.593C VDD_IN 5208mW/5208mW/5208mW VDD_CPU_GPU_CV 1560mW/1560mW/1560mW VDD_SOC 1201mW/1201mW/1201mW
07-21-2026 18:55:30 RAM 1833/7546MB (lfb 190x4MB) SWAP 2315/8192MB (cached 164MB) CPU [4%@729,0%@729,0%@729,28%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@50.218C/50.281C soc2@49.718C/49.718C soc0@50.593C/50.687C gpu@51.156C/51.156C tj@51.156C/51.156C soc1@50.75C/50.75C VDD_IN 5248mW/5228mW/5248mW VDD_CPU_GPU_CV 1560mW/1560mW/1560mW VDD_SOC 1241mW/1221mW/1241mW
07-21-2026 18:55:31 RAM 1833/7546MB (lfb 190x4MB) SWAP 2315/8192MB (cached 164MB) CPU [4%@729,0%@729,5%@729,4%@729,4%@729,0%@729] GR3D_FREQ 0% cpu@50.093C/50.281C soc2@49.812C/49.812C soc0@50.625C/50.687C gpu@50.812C/51.156C tj@50.812C/51.156C soc1@50.781C/50.781C VDD_IN 5208mW/5221mW/5248mW VDD_CPU_GPU_CV 1560mW/1560mW/1560mW VDD_SOC 1200mW/1214mW/1241mW
07-21-2026 18:55:31 RAM 1826/7546MB (lfb 190x4MB) SWAP 2315/8192MB (cached 164MB) CPU [4%@729,4%@729,4%@729,0%@729,4%@729,5%@729] GR3D_FREQ 0% cpu@50.312C/50.312C soc2@49.656C/49.812C soc0@50.718C/50.718C gpu@50.937C/51.156C tj@50.937C/51.156C soc1@50.906C/50.906C VDD_IN 5168mW/5208mW/5248mW VDD_CPU_GPU_CV 1520mW/1550mW/1560mW VDD_SOC 1200mW/1211mW/1241mW
07-21-2026 18:55:31 RAM 1823/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 164MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@49.906C/50.312C soc2@49.562C/49.812C soc0@50.812C/50.812C gpu@50.718C/51.156C tj@50.812C/51.156C soc1@50.531C/50.906C VDD_IN 5088mW/5184mW/5248mW VDD_CPU_GPU_CV 1480mW/1536mW/1560mW VDD_SOC 1200mW/1208mW/1241mW
07-21-2026 18:55:31 RAM 1823/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 164MB) CPU [5%@729,0%@729,0%@729,4%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@49.968C/50.312C soc2@49.625C/49.812C soc0@50.781C/50.812C gpu@50.656C/51.156C tj@50.781C/51.156C soc1@50.531C/50.906C VDD_IN 5088mW/5168mW/5248mW VDD_CPU_GPU_CV 1480mW/1527mW/1560mW VDD_SOC 1200mW/1207mW/1241mW
07-21-2026 18:55:31 RAM 1823/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 164MB) CPU [0%@729,0%@729,0%@729,0%@729,4%@729,0%@729] GR3D_FREQ 0% cpu@50.031C/50.312C soc2@49.625C/49.812C soc0@50.531C/50.812C gpu@50.656C/51.156C tj@50.718C/51.156C soc1@50.718C/50.906C VDD_IN 5048mW/5151mW/5248mW VDD_CPU_GPU_CV 1440mW/1514mW/1560mW VDD_SOC 1200mW/1206mW/1241mW
07-21-2026 18:55:32 RAM 1824/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 165MB) CPU [4%@729,0%@729,9%@729,0%@729,4%@729,0%@729] GR3D_FREQ 0% cpu@50.125C/50.312C soc2@49.625C/49.812C soc0@50.593C/50.812C gpu@51.156C/51.156C tj@51.156C/51.156C soc1@50.781C/50.906C VDD_IN 5008mW/5133mW/5248mW VDD_CPU_GPU_CV 1440mW/1505mW/1560mW VDD_SOC 1200mW/1205mW/1241mW
07-21-2026 18:55:32 RAM 1824/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 165MB) CPU [0%@729,9%@729,9%@729,4%@729,5%@729,4%@729] GR3D_FREQ 0% cpu@50.218C/50.312C soc2@49.531C/49.812C soc0@50.75C/50.812C gpu@50.5C/51.156C tj@50.75C/51.156C soc1@50.531C/50.906C VDD_IN 5048mW/5124mW/5248mW VDD_CPU_GPU_CV 1480mW/1502mW/1560mW VDD_SOC 1200mW/1205mW/1241mW
07-21-2026 18:55:32 RAM 1824/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 168MB) CPU [22%@729,9%@729,0%@729,5%@729,0%@729,5%@729] GR3D_FREQ 0% cpu@49.937C/50.312C soc2@49.593C/49.812C soc0@50.781C/50.812C gpu@50.875C/51.156C tj@50.875C/51.156C soc1@50.625C/50.906C VDD_IN 5048mW/5116mW/5248mW VDD_CPU_GPU_CV 1480mW/1500mW/1560mW VDD_SOC 1200mW/1204mW/1241mW
07-21-2026 18:55:32 RAM 1824/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 168MB) CPU [0%@729,0%@729,0%@729,4%@729,4%@729,4%@729] GR3D_FREQ 0% cpu@50C/50.312C soc2@49.562C/49.812C soc0@50.468C/50.812C gpu@51C/51.156C tj@51C/51.156C soc1@50.625C/50.906C VDD_IN 5008mW/5106mW/5248mW VDD_CPU_GPU_CV 1480mW/1498mW/1560mW VDD_SOC 1200mW/1204mW/1241mW
07-21-2026 18:55:32 RAM 1824/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 168MB) CPU [9%@729,0%@729,5%@729,0%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@50.093C/50.312C soc2@49.593C/49.812C soc0@50.656C/50.812C gpu@50.75C/51.156C tj@50.75C/51.156C soc1@50.687C/50.906C VDD_IN 5048mW/5101mW/5248mW VDD_CPU_GPU_CV 1480mW/1497mW/1560mW VDD_SOC 1200mW/1204mW/1241mW
07-21-2026 18:55:33 RAM 1824/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 168MB) CPU [0%@729,5%@729,5%@729,0%@729,4%@729,9%@729] GR3D_FREQ 0% cpu@50.25C/50.312C soc2@49.531C/49.812C soc0@50.656C/50.812C gpu@50.593C/51.156C tj@50.75C/51.156C soc1@50.75C/50.906C VDD_IN 5008mW/5094mW/5248mW VDD_CPU_GPU_CV 1480mW/1495mW/1560mW VDD_SOC 1200mW/1203mW/1241mW
07-21-2026 18:55:33 RAM 1824/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 168MB) CPU [5%@729,4%@729,0%@729,4%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@49.968C/50.312C soc2@49.593C/49.812C soc0@50.718C/50.812C gpu@50.625C/51.156C tj@50.718C/51.156C soc1@50.593C/50.906C VDD_IN 5048mW/5091mW/5248mW VDD_CPU_GPU_CV 1480mW/1494mW/1560mW VDD_SOC 1200mW/1203mW/1241mW
07-21-2026 18:55:33 RAM 1825/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 168MB) CPU [0%@729,0%@729,4%@729,9%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@50.031C/50.312C soc2@49.531C/49.812C soc0@50.5C/50.812C gpu@50.687C/51.156C tj@50.687C/51.156C soc1@50.593C/50.906C VDD_IN 5048mW/5088mW/5248mW VDD_CPU_GPU_CV 1480mW/1493mW/1560mW VDD_SOC 1200mW/1203mW/1241mW
07-21-2026 18:55:33 RAM 1825/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 168MB) CPU [0%@729,4%@729,0%@729,0%@729,4%@729,0%@729] GR3D_FREQ 0% cpu@50C/50.312C soc2@49.593C/49.812C soc0@50.468C/50.812C gpu@50.562C/51.156C tj@50.625C/51.156C soc1@50.625C/50.906C VDD_IN 5008mW/5083mW/5248mW VDD_CPU_GPU_CV 1440mW/1490mW/1560mW VDD_SOC 1200mW/1203mW/1241mW
07-21-2026 18:55:34 RAM 1825/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 168MB) CPU [4%@729,0%@729,0%@729,9%@729,0%@729,9%@729] GR3D_FREQ 0% cpu@50.343C/50.343C soc2@49.562C/49.812C soc0@50.625C/50.812C gpu@51C/51.156C tj@51C/51.156C soc1@50.656C/50.906C VDD_IN 5008mW/5079mW/5248mW VDD_CPU_GPU_CV 1440mW/1487mW/1560mW VDD_SOC 1200mW/1202mW/1241mW
07-21-2026 18:55:34 RAM 1825/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 168MB) CPU [5%@729,4%@729,0%@729,5%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@49.812C/50.343C soc2@49.5C/49.812C soc0@50.562C/50.812C gpu@50.562C/51.156C tj@50.593C/51.156C soc1@50.437C/50.906C VDD_IN 5048mW/5077mW/5248mW VDD_CPU_GPU_CV 1480mW/1487mW/1560mW VDD_SOC 1200mW/1202mW/1241mW
07-21-2026 18:55:34 RAM 1825/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 168MB) CPU [9%@729,0%@729,4%@729,4%@729,0%@729,5%@729] GR3D_FREQ 0% cpu@49.937C/50.343C soc2@49.562C/49.812C soc0@50.531C/50.812C gpu@50.625C/51.156C tj@50.625C/51.156C soc1@50.437C/50.906C VDD_IN 5048mW/5075mW/5248mW VDD_CPU_GPU_CV 1480mW/1486mW/1560mW VDD_SOC 1200mW/1202mW/1241mW
07-21-2026 18:55:34 RAM 1825/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 168MB) CPU [4%@729,0%@729,0%@729,4%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@50.062C/50.343C soc2@49.562C/49.812C soc0@50.468C/50.812C gpu@51.093C/51.156C tj@51.093C/51.156C soc1@50.562C/50.906C VDD_IN 5048mW/5074mW/5248mW VDD_CPU_GPU_CV 1480mW/1486mW/1560mW VDD_SOC 1200mW/1202mW/1241mW
