07-21-2026 19:01:41 RAM 1607/7546MB (lfb 133x4MB) SWAP 2412/8192MB (cached 28MB) CPU [9%@1113,52%@1113,5%@1113,14%@1113,0%@729,9%@729] GR3D_FREQ 0% cpu@52.312C/52.312C soc2@51.562C/51.562C soc0@52.687C/52.687C gpu@53C/53C tj@53C/53C soc1@52.625C/52.625C VDD_IN 5208mW/5208mW/5208mW VDD_CPU_GPU_CV 1600mW/1600mW/1600mW VDD_SOC 1200mW/1200mW/1200mW
07-21-2026 19:01:41 RAM 1612/7546MB (lfb 133x4MB) SWAP 2412/8192MB (cached 29MB) CPU [34%@1728,10%@1728,19%@1728,10%@1728,0%@1113,0%@1113] GR3D_FREQ 0% cpu@52.687C/52.687C soc2@51.593C/51.593C soc0@52.468C/52.687C gpu@52.843C/53C tj@52.843C/53C soc1@52.562C/52.625C VDD_IN 5368mW/5288mW/5368mW VDD_CPU_GPU_CV 1640mW/1620mW/1640mW VDD_SOC 1241mW/1221mW/1241mW
07-21-2026 19:01:42 RAM 1610/7546MB (lfb 136x4MB) SWAP 2412/8192MB (cached 29MB) CPU [0%@729,13%@729,5%@729,18%@729,9%@729,0%@729] GR3D_FREQ 0% cpu@52.187C/52.687C soc2@51.562C/51.593C soc0@52.437C/52.687C gpu@52.625C/53C tj@52.687C/53C soc1@52.687C/52.687C VDD_IN 5368mW/5315mW/5368mW VDD_CPU_GPU_CV 1640mW/1627mW/1640mW VDD_SOC 1240mW/1227mW/1241mW
07-21-2026 19:01:42 RAM 1610/7546MB (lfb 136x4MB) SWAP 2412/8192MB (cached 29MB) CPU [0%@729,4%@729,0%@729,0%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@52.093C/52.687C soc2@51.593C/51.593C soc0@52.562C/52.687C gpu@52.656C/53C tj@52.718C/53C soc1@52.718C/52.718C VDD_IN 5248mW/5298mW/5368mW VDD_CPU_GPU_CV 1560mW/1610mW/1640mW VDD_SOC 1240mW/1230mW/1241mW
07-21-2026 19:01:42 RAM 1610/7546MB (lfb 136x4MB) SWAP 2412/8192MB (cached 29MB) CPU [4%@729,0%@729,0%@729,0%@729,4%@729,4%@729] GR3D_FREQ 0% cpu@52.281C/52.687C soc2@51.531C/51.593C soc0@52.531C/52.687C gpu@53.093C/53.093C tj@53.093C/53.093C soc1@52.812C/52.812C VDD_IN 5128mW/5264mW/5368mW VDD_CPU_GPU_CV 1480mW/1584mW/1640mW VDD_SOC 1200mW/1224mW/1241mW
07-21-2026 19:01:42 RAM 1610/7546MB (lfb 136x4MB) SWAP 2412/8192MB (cached 29MB) CPU [4%@729,5%@729,0%@729,10%@729,0%@729,13%@729] GR3D_FREQ 0% cpu@51.906C/52.687C soc2@51.531C/51.593C soc0@52.531C/52.687C gpu@52.562C/53.093C tj@52.687C/53.093C soc1@52.625C/52.812C VDD_IN 5128mW/5241mW/5368mW VDD_CPU_GPU_CV 1520mW/1573mW/1640mW VDD_SOC 1200mW/1220mW/1241mW
07-21-2026 19:01:42 RAM 1610/7546MB (lfb 136x4MB) SWAP 2411/8192MB (cached 29MB) CPU [0%@729,0%@729,0%@729,0%@729,4%@729,0%@729] GR3D_FREQ 0% cpu@51.843C/52.687C soc2@51.437C/51.593C soc0@52.375C/52.687C gpu@52.843C/53.093C tj@52.843C/53.093C soc1@52.562C/52.812C VDD_IN 5088mW/5219mW/5368mW VDD_CPU_GPU_CV 1480mW/1560mW/1640mW VDD_SOC 1200mW/1217mW/1241mW
07-21-2026 19:01:43 RAM 1609/7546MB (lfb 136x4MB) SWAP 2411/8192MB (cached 29MB) CPU [9%@729,4%@729,4%@729,4%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@51.968C/52.687C soc2@51.5C/51.593C soc0@52.343C/52.687C gpu@52.656C/53.093C tj@52.656C/53.093C soc1@52.625C/52.812C VDD_IN 5048mW/5198mW/5368mW VDD_CPU_GPU_CV 1480mW/1550mW/1640mW VDD_SOC 1200mW/1215mW/1241mW
07-21-2026 19:01:43 RAM 1596/7546MB (lfb 136x4MB) SWAP 2411/8192MB (cached 29MB) CPU [13%@729,10%@729,9%@729,10%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@52.187C/52.687C soc2@51.468C/51.593C soc0@52.343C/52.687C gpu@52.75C/53.093C tj@52.75C/53.093C soc1@52.625C/52.812C VDD_IN 5168mW/5195mW/5368mW VDD_CPU_GPU_CV 1520mW/1547mW/1640mW VDD_SOC 1200mW/1213mW/1241mW
07-21-2026 19:01:43 RAM 1594/7546MB (lfb 137x4MB) SWAP 2411/8192MB (cached 29MB) CPU [4%@729,5%@729,0%@729,4%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@51.718C/52.687C soc2@51.375C/51.593C soc0@52.531C/52.687C gpu@52.531C/53.093C tj@52.531C/53.093C soc1@52.5C/52.812C VDD_IN 5128mW/5188mW/5368mW VDD_CPU_GPU_CV 1480mW/1540mW/1640mW VDD_SOC 1200mW/1212mW/1241mW
07-21-2026 19:01:43 RAM 1594/7546MB (lfb 137x4MB) SWAP 2411/8192MB (cached 29MB) CPU [0%@729,5%@729,9%@729,10%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@51.937C/52.687C soc2@51.406C/51.593C soc0@52.562C/52.687C gpu@52.656C/53.093C tj@52.656C/53.093C soc1@52.531C/52.812C VDD_IN 5128mW/5183mW/5368mW VDD_CPU_GPU_CV 1480mW/1535mW/1640mW VDD_SOC 1200mW/1211mW/1241mW
07-21-2026 19:01:43 RAM 1594/7546MB (lfb 137x4MB) SWAP 2411/8192MB (cached 29MB) CPU [9%@729,0%@729,4%@729,4%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@51.906C/52.687C soc2@51.437C/51.593C soc0@52.281C/52.687C gpu@52.562C/53.093C tj@52.562C/53.093C soc1@52.5C/52.812C VDD_IN 5088mW/5175mW/5368mW VDD_CPU_GPU_CV 1480mW/1530mW/1640mW VDD_SOC 1200mW/1210mW/1241mW
07-21-2026 19:01:44 RAM 1592/7546MB (lfb 137x4MB) SWAP 2411/8192MB (cached 29MB) CPU [0%@729,9%@729,0%@729,4%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@52.062C/52.687C soc2@51.406C/51.593C soc0@52.312C/52.687C gpu@52.843C/53.093C tj@52.843C/53.093C soc1@52.593C/52.812C VDD_IN 5048mW/5165mW/5368mW VDD_CPU_GPU_CV 1440mW/1523mW/1640mW VDD_SOC 1200mW/1209mW/1241mW
07-21-2026 19:01:44 RAM 1592/7546MB (lfb 137x4MB) SWAP 2411/8192MB (cached 29MB) CPU [5%@729,28%@729,4%@729,9%@729,0%@729,0%@729] GR3D_FREQ 1% cpu@52.125C/52.687C soc2@51.312C/51.593C soc0@52.312C/52.687C gpu@52.406C/53.093C tj@52.562C/53.093C soc1@52.656C/52.812C VDD_IN 5128mW/5162mW/5368mW VDD_CPU_GPU_CV 1520mW/1523mW/1640mW VDD_SOC 1200mW/1209mW/1241mW
07-21-2026 19:01:44 RAM 1592/7546MB (lfb 137x4MB) SWAP 2411/8192MB (cached 29MB) CPU [0%@729,0%@729,4%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@51.718C/52.687C soc2@51.312C/51.593C soc0@52.437C/52.687C gpu@52.687C/53.093C tj@52.687C/53.093C soc1@52.406C/52.812C VDD_IN 5048mW/5155mW/5368mW VDD_CPU_GPU_CV 1480mW/1520mW/1640mW VDD_SOC 1200mW/1208mW/1241mW
07-21-2026 19:01:44 RAM 1592/7546MB (lfb 137x4MB) SWAP 2411/8192MB (cached 29MB) CPU [13%@729,9%@729,5%@729,13%@729,4%@729,0%@729] GR3D_FREQ 0% cpu@51.75C/52.687C soc2@51.375C/51.593C soc0@52.5C/52.687C gpu@52.75C/53.093C tj@52.75C/53.093C soc1@52.375C/52.812C VDD_IN 5088mW/5151mW/5368mW VDD_CPU_GPU_CV 1480mW/1518mW/1640mW VDD_SOC 1200mW/1208mW/1241mW
07-21-2026 19:01:45 RAM 1593/7546MB (lfb 137x4MB) SWAP 2411/8192MB (cached 29MB) CPU [20%@1497,19%@1497,22%@1497,33%@1497,9%@1728,14%@1728] GR3D_FREQ 14% cpu@52.343C/52.687C soc2@51.406C/51.593C soc0@52.281C/52.687C gpu@52.625C/53.093C tj@52.625C/53.093C soc1@52.5C/52.812C VDD_IN 5368mW/5163mW/5368mW VDD_CPU_GPU_CV 1640mW/1525mW/1640mW VDD_SOC 1240mW/1209mW/1241mW
07-21-2026 19:01:45 RAM 1589/7546MB (lfb 139x4MB) SWAP 2411/8192MB (cached 30MB) CPU [9%@960,4%@960,4%@960,4%@960,0%@1728,5%@1728] GR3D_FREQ 0% cpu@52C/52.687C soc2@51.406C/51.593C soc0@52.156C/52.687C gpu@52.375C/53.093C tj@52.562C/53.093C soc1@52.562C/52.812C VDD_IN 5328mW/5172mW/5368mW VDD_CPU_GPU_CV 1600mW/1529mW/1640mW VDD_SOC 1240mW/1211mW/1241mW
07-21-2026 19:01:45 RAM 1590/7546MB (lfb 139x4MB) SWAP 2411/8192MB (cached 31MB) CPU [0%@729,4%@729,4%@729,4%@729,9%@1113,0%@1113] GR3D_FREQ 0% cpu@51.875C/52.687C soc2@51.406C/51.593C soc0@52.312C/52.687C gpu@52.781C/53.093C tj@52.781C/53.093C soc1@52.625C/52.812C VDD_IN 5288mW/5179mW/5368mW VDD_CPU_GPU_CV 1560mW/1531mW/1640mW VDD_SOC 1240mW/1213mW/1241mW
07-21-2026 19:01:45 RAM 1593/7546MB (lfb 139x4MB) SWAP 2411/8192MB (cached 32MB) CPU [0%@729,4%@729,9%@729,9%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@51.937C/52.687C soc2@51.343C/51.593C soc0@52.281C/52.687C gpu@52.25C/53.093C tj@52.281C/53.093C soc1@52.25C/52.812C VDD_IN 5288mW/5184mW/5368mW VDD_CPU_GPU_CV 1560mW/1532mW/1640mW VDD_SOC 1240mW/1214mW/1241mW
07-21-2026 19:01:45 RAM 1593/7546MB (lfb 139x4MB) SWAP 2411/8192MB (cached 32MB) CPU [5%@729,0%@729,0%@729,4%@729,5%@729,4%@729] GR3D_FREQ 0% cpu@51.687C/52.687C soc2@51.218C/51.593C soc0@52.343C/52.687C gpu@52.625C/53.093C tj@52.625C/53.093C soc1@52.343C/52.812C VDD_IN 5208mW/5185mW/5368mW VDD_CPU_GPU_CV 1520mW/1531mW/1640mW VDD_SOC 1240mW/1215mW/1241mW
07-21-2026 19:01:46 RAM 1593/7546MB (lfb 139x4MB) SWAP 2411/8192MB (cached 32MB) CPU [4%@729,9%@729,4%@729,0%@729,0%@729,5%@729] GR3D_FREQ 0% cpu@51.718C/52.687C soc2@51.281C/51.593C soc0@52.218C/52.687C gpu@52.75C/53.093C tj@52.75C/53.093C soc1@52.406C/52.812C VDD_IN 5128mW/5183mW/5368mW VDD_CPU_GPU_CV 1480mW/1529mW/1640mW VDD_SOC 1200mW/1215mW/1241mW
07-21-2026 19:01:46 RAM 1590/7546MB (lfb 140x4MB) SWAP 2411/8192MB (cached 32MB) CPU [9%@729,4%@729,5%@729,4%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@51.781C/52.687C soc2@51.312C/51.593C soc0@52.25C/52.687C gpu@52.406C/53.093C tj@52.531C/53.093C soc1@52.531C/52.812C VDD_IN 5128mW/5180mW/5368mW VDD_CPU_GPU_CV 1480mW/1527mW/1640mW VDD_SOC 1200mW/1214mW/1241mW
07-21-2026 19:01:46 RAM 1590/7546MB (lfb 140x4MB) SWAP 2411/8192MB (cached 32MB) CPU [0%@729,0%@729,0%@729,0%@729,4%@729,0%@729] GR3D_FREQ 0% cpu@52.125C/52.687C soc2@51.187C/51.593C soc0@52.156C/52.687C gpu@52.5C/53.093C tj@52.531C/53.093C soc1@52.25C/52.812C VDD_IN 5048mW/5175mW/5368mW VDD_CPU_GPU_CV 1480mW/1525mW/1640mW VDD_SOC 1200mW/1213mW/1241mW
07-21-2026 19:01:46 RAM 1590/7546MB (lfb 140x4MB) SWAP 2411/8192MB (cached 32MB) CPU [0%@729,9%@729,4%@729,0%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@51.625C/52.687C soc2@51.218C/51.593C soc0@52.343C/52.687C gpu@52.25C/53.093C tj@52.343C/53.093C soc1@52.218C/52.812C VDD_IN 5048mW/5170mW/5368mW VDD_CPU_GPU_CV 1440mW/1522mW/1640mW VDD_SOC 1200mW/1213mW/1241mW
07-21-2026 19:01:46 RAM 1591/7546MB (lfb 140x4MB) SWAP 2411/8192MB (cached 32MB) CPU [5%@729,9%@729,5%@729,5%@729,0%@729,13%@729] GR3D_FREQ 0% cpu@51.562C/52.687C soc2@51.25C/51.593C soc0@52.031C/52.687C gpu@52.187C/53.093C tj@52.312C/53.093C soc1@52.312C/52.812C VDD_IN 5088mW/5166mW/5368mW VDD_CPU_GPU_CV 1480mW/1520mW/1640mW VDD_SOC 1200mW/1212mW/1241mW
07-21-2026 19:01:47 RAM 1591/7546MB (lfb 140x4MB) SWAP 2411/8192MB (cached 32MB) CPU [0%@729,0%@729,0%@729,0%@729,9%@729,0%@729] GR3D_FREQ 0% cpu@51.718C/52.687C soc2@51.281C/51.593C soc0@52.093C/52.687C gpu@52.187C/53.093C tj@52.25C/53.093C soc1@52.25C/52.812C VDD_IN 5048mW/5162mW/5368mW VDD_CPU_GPU_CV 1480mW/1519mW/1640mW VDD_SOC 1200mW/1212mW/1241mW
07-21-2026 19:01:47 RAM 1591/7546MB (lfb 140x4MB) SWAP 2411/8192MB (cached 32MB) CPU [4%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@51.906C/52.687C soc2@51.25C/51.593C soc0@52.187C/52.687C gpu@52.562C/53.093C tj@52.562C/53.093C soc1@52.281C/52.812C VDD_IN 5008mW/5157mW/5368mW VDD_CPU_GPU_CV 1440mW/1516mW/1640mW VDD_SOC 1200mW/1211mW/1241mW
