07-21-2026 21:07:36 RAM 1754/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 103MB) CPU [56%@1190,10%@1190,5%@1190,5%@1190,0%@729,4%@729] GR3D_FREQ 0% cpu@52.406C/52.406C soc2@51.968C/51.968C soc0@52.937C/52.937C gpu@53.343C/53.343C tj@53.343C/53.343C soc1@53C/53C VDD_IN 5328mW/5328mW/5328mW VDD_CPU_GPU_CV 1600mW/1600mW/1600mW VDD_SOC 1240mW/1240mW/1240mW
07-21-2026 21:07:37 RAM 1756/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 103MB) CPU [4%@729,21%@729,0%@729,17%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@52.468C/52.468C soc2@52C/52C soc0@52.75C/52.937C gpu@53.156C/53.343C tj@53.156C/53.343C soc1@53.031C/53.031C VDD_IN 5328mW/5328mW/5328mW VDD_CPU_GPU_CV 1600mW/1600mW/1600mW VDD_SOC 1240mW/1240mW/1240mW
07-21-2026 21:07:37 RAM 1756/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 104MB) CPU [0%@729,4%@729,5%@729,0%@729,4%@729,4%@729] GR3D_FREQ 0% cpu@52.5C/52.5C soc2@51.937C/52C soc0@52.812C/52.937C gpu@52.937C/53.343C tj@53.125C/53.343C soc1@53.125C/53.125C VDD_IN 5208mW/5288mW/5328mW VDD_CPU_GPU_CV 1560mW/1587mW/1600mW VDD_SOC 1200mW/1227mW/1240mW
07-21-2026 21:07:37 RAM 1756/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 104MB) CPU [5%@729,0%@729,0%@729,5%@729,5%@729,0%@729] GR3D_FREQ 0% cpu@52.656C/52.656C soc2@52C/52C soc0@52.812C/52.937C gpu@53.031C/53.343C tj@53.187C/53.343C soc1@53.187C/53.187C VDD_IN 5208mW/5268mW/5328mW VDD_CPU_GPU_CV 1560mW/1580mW/1600mW VDD_SOC 1200mW/1220mW/1240mW
07-21-2026 21:07:37 RAM 1756/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 104MB) CPU [4%@729,0%@729,0%@729,4%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@52.343C/52.656C soc2@51.906C/52C soc0@52.906C/52.937C gpu@52.906C/53.343C tj@52.968C/53.343C soc1@52.968C/53.187C VDD_IN 5128mW/5240mW/5328mW VDD_CPU_GPU_CV 1520mW/1568mW/1600mW VDD_SOC 1200mW/1216mW/1240mW
07-21-2026 21:07:37 RAM 1756/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 104MB) CPU [0%@729,4%@729,5%@729,5%@729,4%@729,0%@729] GR3D_FREQ 0% cpu@52.281C/52.656C soc2@51.843C/52C soc0@52.843C/52.937C gpu@53.25C/53.343C tj@53.25C/53.343C soc1@53.031C/53.187C VDD_IN 5088mW/5215mW/5328mW VDD_CPU_GPU_CV 1480mW/1553mW/1600mW VDD_SOC 1200mW/1213mW/1240mW
07-21-2026 21:07:38 RAM 1756/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 104MB) CPU [9%@729,14%@729,4%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@52.312C/52.656C soc2@51.875C/52C soc0@52.75C/52.937C gpu@53.375C/53.375C tj@53.375C/53.375C soc1@53.062C/53.187C VDD_IN 5128mW/5202mW/5328mW VDD_CPU_GPU_CV 1520mW/1549mW/1600mW VDD_SOC 1200mW/1211mW/1240mW
07-21-2026 21:07:38 RAM 1756/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 104MB) CPU [0%@729,0%@729,0%@729,4%@729,4%@729,0%@729] GR3D_FREQ 0% cpu@52.406C/52.656C soc2@51.843C/52C soc0@52.75C/52.937C gpu@53.093C/53.375C tj@53.093C/53.375C soc1@52.968C/53.187C VDD_IN 5088mW/5188mW/5328mW VDD_CPU_GPU_CV 1480mW/1540mW/1600mW VDD_SOC 1200mW/1210mW/1240mW
07-21-2026 21:07:38 RAM 1756/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 104MB) CPU [0%@729,0%@729,9%@729,0%@729,5%@729,0%@729] GR3D_FREQ 0% cpu@52.406C/52.656C soc2@51.843C/52C soc0@52.781C/52.937C gpu@52.906C/53.375C tj@53.187C/53.375C soc1@53.187C/53.187C VDD_IN 5088mW/5177mW/5328mW VDD_CPU_GPU_CV 1480mW/1533mW/1600mW VDD_SOC 1200mW/1209mW/1240mW
07-21-2026 21:07:38 RAM 1756/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 104MB) CPU [5%@729,9%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@52.75C/52.75C soc2@51.75C/52C soc0@52.75C/52.937C gpu@53C/53.375C tj@53C/53.375C soc1@53C/53.187C VDD_IN 5088mW/5168mW/5328mW VDD_CPU_GPU_CV 1480mW/1528mW/1600mW VDD_SOC 1200mW/1208mW/1240mW
07-21-2026 21:07:38 RAM 1756/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 104MB) CPU [4%@729,5%@729,5%@729,9%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@52.187C/52.75C soc2@51.812C/52C soc0@52.906C/52.937C gpu@52.781C/53.375C tj@53C/53.375C soc1@53C/53.187C VDD_IN 5088mW/5161mW/5328mW VDD_CPU_GPU_CV 1480mW/1524mW/1600mW VDD_SOC 1200mW/1207mW/1240mW
